,STU_ID,SCH_ID,F3ERN2011,F3C02,F3EVRGED,F3EVERDO,BYMOTHED,BYS14,BYRACE,BYP61,F3ATTAINMENT,BYTXCSTD,BYSES1,F3JUNEDSTAT,F3REGION,F3B35,female,no_parent,moth_ed_1,moth_ed_2,moth_ed_3,moth_ed_4,moth_ed_5,moth_ed_6,moth_ed_7,moth_ed_8,region_1,region_2,region_3,region_4,high_school_grad,ged,BYRACE2,Other,Asian,Black,Hispanic,White,post_sec_edu,income_log
385,108221,1082,53000,38,0,0,1,1,7,0,6,62.31,0.1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,4,10.87804719
390,108227,1082,41000,50,0,0,6,2,7,0,3,59.35,0.45,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.62132735
391,108228,1082,45000,25,0,0,6,1,7,0,10,69.31,0.83,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,8,10.71441777
395,109103,1091,25000,38,0,0,6,2,7,0,6,58.12,1.09,3,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.1266311
397,109105,1091,42000,40,0,0,3,1,7,0,5,49.11,0.31,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,2,10.6454249
411,109119,1091,24000,25,0,0,6,2,2,1,6,59.67,0.72,3,3,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,1,0,0,0,4,10.08580911
413,109121,1091,65000,40,0,0,5,1,2,0,4,50.94,0.64,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,1,11.08214255
414,109122,1091,49000,50,0,0,2,2,7,0,6,47.81,-0.25,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.79957558
416,109124,1091,58000,40,0,0,6,1,7,0,4,63.42,1.04,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,7,0,0,0,0,1,1,10.96819829
417,109125,1091,12500,40,0,0,2,2,2,0,10,58.56,-0.61,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,8,9.433483923
420,109128,1091,40000,43,0,0,2,2,7,0,8,54.26,-0.66,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,6,10.59663473
428,109210,1092,25000,40,0,0,2,1,7,0,6,63.04,0.11,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.1266311
429,109211,1092,20000,40,0,0,4,2,7,0,8,56.6,0.58,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,6,9.903487553
431,109213,1092,10000,40,0,0,2,2,7,0,8,58.61,0.43,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,6,9.210340372
432,109214,1092,70000,40,0,0,7,2,2,1,6,61.78,0.53,3,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,1,0,0,0,4,11.15625052
434,109216,1092,30000,60,0,0,4,1,7,0,3,55.43,0.01,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.30895266
436,109218,1092,60000,42,0,0,4,1,7,0,6,62.83,-0.41,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,11.00209984
437,109220,1092,19500,40,0,0,7,1,7,0,6,55.03,1.24,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,7,0,0,0,0,1,4,9.878169745
444,109227,1092,15000,30,0,0,5,1,7,0,3,61.52,-0.52,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,9.61580548
447,109232,1092,75000,65,0,0,2,1,7,0,2,47.09,-0.01,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,11.22524339
449,110102,1101,35000,40,0,0,2,1,7,0,2,45.52,0.17,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.46310334
451,110104,1101,30000,90,0,0,2,1,5,0,6,71.17,-0.24,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,4,10.30895266
455,110108,1101,42000,45,0,0,6,1,7,0,6,63.64,0.94,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.6454249
456,110109,1101,35000,32,0,0,3,2,2,1,6,61.72,-0.4,3,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,4,10.46310334
459,110116,1101,37000,40,0,0,6,2,7,0,6,60.25,0.71,3,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,7,0,0,0,0,1,4,10.51867319
461,110118,1101,40000,40,0,0,2,2,7,0,6,51.28,0.14,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,4,10.59663473
462,110119,1101,38000,40,0,0,2,2,7,0,5,61.17,0.18,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,2,10.54534144
